occupation
5119 agricult and fishing trades n.e.c.
1211 farm managers
5321 building trades
9121 labrers build & woodworking trades
"5312 bricklayers, masons, roofers"
"2411 solic & lawyers, judges & coroners"
"3561 public service associates, personnel and industrial relations officers"
3520 legal associate professionals
"2423 mngmnt cons, actuar, econs & statn"
2441 public service administrative profs
