occupation
3563 vocatn & indust trainrs & instrctrs
1135 pers training & ind rel mngers
1172 protective service officers
1181 healthcare and social service managers
3231 youth and community workers
8212 van drivers
8211 heavy goods vehicle drivers
"5111 Farmers, gardeners and ground women"
5492 Skill trades nec
"8214 taxi, cab drivers and chauffeurs"
"9233 cleaners, domestics"
