occupation
2321 scientific researchers
2329 researchers n.e.c.
2111 chemists
2421 chartered and certified accountants
2434 chartrd surveyors (not qntity surv)
9251 shelf fillers
9244 school mid-day assistants
9259 elementary sales occupations nec.
9231 window cleaners
"9233 cleaners, domestics"
