occupation
2321 scientific researchers
2111 chemists
1112 directors & chief execs of maj orgs
2421 chartered and certified accountants
2434 chartrd surveyors (not qntity surv)
9231 window cleaners
"9211 post wrkr, mail sort, msngr, courir"
9244 school mid-day assistants
9259 elementary sales occupations nec.
"9233 cleaners, domestics"
