occupation
3222 occupational therapists
2444 clergy
2431 architects
1114 sen. officials spec interest orgs
1113 senior officials in local gov
9225 bar staff
"9134 packers, bottlers, canners, fillers"
8139 assemblers and routine oprtves nec.
7112 retail cashiers/check-out operators
9259 elementary sales occupations nec.
